351.5	2146
352.5	2085
353.5	2187
354.5	2103
355.5	2159
356.5	2131
357.5	2120
358.5	2122
359.5	2140
360.5	2186
361.5	2144
362.5	2209
363.5	2101
364.5	2111
365.5	2100
366.5	2111
367.5	2128
368.5	2148
369.5	2176
370.5	2299
371.5	2059
372.5	2253
373.5	2304
374.5	2367
375.5	2324
376.5	2362
377.5	2405
378.5	2434
379.5	2464
380.5	2460
381.5	2620
382.5	2453
383.5	2450
384.5	2431
385.5	2421
386.5	2258
387.5	2191
388.5	2195
389.5	2101
390.5	2160
391.5	2064
392.5	2127
393.5	2103
394.5	2110
395.5	2252
396.5	2235
397.5	2181
398.5	2329
399.5	2383
400.5	2417
401.5	2368
402.5	2479
403.5	2499
404.5	2486
405.5	2657
406.5	2425
407.5	2474
408.5	2468
409.5	2471
410.5	2549
411.5	2537
412.5	2493
413.5	2607
414.5	2584
415.5	2653
416.5	2652
417.5	2779
418.5	2905
419.5	2859
420.5	2939
421.5	2983
422.5	2866
423.5	2901
424.5	2961
425.5	2856
426.5	2864
427.5	2800
428.5	2677
429.5	2537
430.5	2581
431.5	2399
432.5	2155
433.5	2197
434.5	2191
435.5	2096
436.5	2066
437.5	2011
438.5	1941
439.5	1865
440.5	1855
441.5	1815
442.5	1795
443.5	1745
444.5	1649
445.5	1637
446.5	1607
447.5	1502
448.5	1386
449.5	1410
450.5	1425
451.5	1258
452.5	1174
453.5	1123
454.5	1180
455.5	1113
456.5	1079
457.5	939
458.5	1004
459.5	1055
460.5	1004
461.5	976
462.5	950
463.5	955
464.5	984
465.5	958
466.5	962
467.5	942
468.5	928
469.5	903
470.5	876
471.5	904
472.5	870
473.5	933
474.5	912
475.5	950
476.5	981
477.5	909
478.5	986
479.5	996
480.5	1065
481.5	1099
482.5	1104
483.5	1122
484.5	1184
485.5	1258
486.5	1252
487.5	1250
488.5	1283
489.5	1406
490.5	1326
491.5	1364
492.5	1380
493.5	1434
494.5	1377
495.5	1335
496.5	1359
497.5	1314
498.5	1246
499.5	1315
500.5	1250
501.5	1217
502.5	1173
503.5	1173
504.5	1137
505.5	1059
506.5	1060
507.5	992
508.5	976
509.5	941
510.5	863
511.5	896
512.5	851
513.5	861
514.5	808
515.5	813
516.5	792
517.5	794
518.5	810
519.5	802
520.5	791
521.5	817
522.5	863
523.5	813
524.5	816
525.5	845
526.5	785
527.5	819
528.5	791
529.5	838
530.5	796
531.5	811
532.5	798
533.5	765
534.5	796
535.5	742
536.5	727
537.5	715
538.5	709
539.5	631
540.5	627
541.5	600
542.5	655
543.5	617
544.5	578
545.5	535
546.5	564
547.5	568
548.5	582
549.5	564
550.5	559
551.5	589
552.5	567
553.5	601
554.5	549
555.5	571
556.5	539
557.5	594
558.5	607
559.5	571
560.5	569
561.5	565
562.5	592
563.5	565
564.5	580
565.5	600
566.5	559
567.5	574
568.5	563
569.5	580
570.5	582
571.5	563
572.5	603
573.5	608
574.5	628
575.5	564
576.5	636
577.5	546
578.5	596
579.5	647
580.5	644
581.5	661
582.5	606
583.5	690
584.5	705
585.5	691
586.5	722
587.5	733
588.5	622
589.5	687
590.5	792
591.5	728
592.5	756
593.5	755
594.5	797
595.5	794
596.5	798
597.5	794
598.5	806
599.5	766
600.5	819
601.5	742
602.5	731
603.5	748
604.5	670
605.5	663
606.5	667
607.5	627
608.5	638
609.5	608
610.5	579
611.5	600
612.5	594
613.5	530
614.5	507
615.5	493
616.5	472
617.5	458
618.5	449
619.5	461
620.5	436
621.5	423
622.5	402
623.5	348
624.5	393
625.5	344
626.5	328
627.5	348
628.5	302
629.5	287
630.5	256
631.5	287
632.5	252
633.5	277
634.5	259
635.5	224
636.5	224
637.5	227
638.5	218
639.5	192
640.5	195
641.5	168
642.5	140
643.5	167
644.5	153
645.5	141
646.5	134
647.5	129
648.5	132
649.5	125
650.5	108
651.5	91
652.5	85
653.5	101
654.5	107
655.5	76
656.5	87
657.5	77
658.5	75
659.5	67
660.5	65
661.5	61
662.5	69
663.5	71
664.5	65
665.5	45
666.5	36
667.5	49
668.5	45
669.5	28
670.5	47
671.5	50
672.5	38
673.5	41
674.5	41
675.5	42
676.5	34
677.5	36
678.5	41
679.5	37
680.5	42
681.5	33
682.5	46
683.5	38
684.5	50
685.5	40
686.5	41
687.5	41
688.5	50
689.5	31
690.5	35
691.5	28
692.5	44
693.5	45
694.5	40
695.5	39
696.5	38
697.5	44
698.5	31
699.5	28
700.5	26
701.5	37
702.5	30
703.5	42
704.5	18
705.5	35
706.5	30
707.5	26
708.5	32
709.5	38
710.5	27
711.5	33
712.5	34
713.5	20
714.5	26
715.5	23
716.5	24
717.5	13
718.5	26
719.5	23
720.5	18
721.5	16
722.5	19
723.5	25
724.5	24
725.5	22
726.5	20
727.5	29
728.5	16
729.5	26
730.5	24
731.5	20
732.5	28
733.5	19
734.5	19
735.5	26
736.5	27
737.5	18
738.5	18
739.5	25
740.5	24
741.5	25
742.5	13
743.5	27
744.5	16
745.5	18
746.5	23
747.5	23
748.5	17
749.5	16
750.5	21
751.5	18
752.5	31
753.5	33
754.5	13
755.5	22
756.5	17
757.5	23
758.5	19
759.5	17
760.5	25
761.5	14
762.5	12
763.5	8
764.5	30
765.5	20
766.5	19
767.5	16
768.5	15
769.5	19
770.5	16
771.5	16
772.5	13
773.5	28
774.5	18
775.5	26
776.5	19
777.5	14
778.5	22
779.5	11
780.5	16
781.5	21
782.5	6
783.5	21
784.5	19
785.5	17
786.5	19
787.5	22
788.5	28
789.5	17
790.5	16
791.5	15
792.5	14
793.5	16
794.5	19
795.5	15
796.5	16
797.5	23
798.5	23
799.5	15
800.5	11
801.5	21
802.5	20
803.5	21
804.5	11
805.5	12
806.5	19
807.5	14
808.5	14
809.5	16
810.5	15
811.5	9
812.5	21
813.5	21
814.5	15
815.5	23
816.5	19
817.5	12
818.5	22
819.5	16
820.5	12
821.5	20
822.5	18
823.5	11
824.5	16
825.5	15
826.5	17
827.5	16
828.5	11
829.5	21
830.5	17
831.5	13
832.5	9
833.5	13
834.5	18
835.5	17
836.5	16
837.5	9
838.5	11
839.5	20
840.5	12
841.5	15
842.5	12
843.5	19
844.5	18
845.5	9
846.5	16
847.5	21
848.5	11
849.5	20
850.5	10
851.5	17
852.5	15
853.5	11
854.5	16
855.5	22
856.5	10
857.5	16
858.5	12
859.5	16
860.5	14
861.5	18
862.5	16
863.5	17
864.5	14
865.5	23
866.5	15
867.5	14
868.5	12
869.5	6
870.5	11
871.5	12
872.5	6
873.5	16
874.5	12
875.5	13
876.5	11
877.5	9
878.5	22
879.5	12
880.5	17
881.5	18
882.5	23
883.5	11
884.5	8
885.5	11
886.5	9
887.5	6
888.5	9
889.5	8
890.5	9
891.5	9
892.5	13
893.5	7
894.5	9
895.5	16
896.5	15
897.5	6
898.5	16
899.5	14
900.5	11
901.5	8
902.5	8
903.5	7
904.5	13
905.5	13
906.5	11
907.5	6
908.5	12
909.5	18
910.5	11
911.5	11
912.5	12
913.5	8
914.5	12
915.5	15
916.5	14
917.5	11
918.5	9
919.5	21
920.5	11
921.5	12
922.5	13
923.5	13
924.5	16
925.5	11
926.5	16
927.5	7
928.5	7
929.5	13
930.5	11
931.5	17
932.5	7
933.5	11
934.5	6
935.5	14
936.5	8
937.5	17
938.5	14
939.5	12
940.5	8
941.5	9
942.5	10
943.5	13
944.5	14
945.5	10
946.5	15
947.5	4
948.5	8
949.5	17
950.5	9
951.5	17
